# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.200805544468232,1.5030480060960123,87.417489783821,0,3.0,-0.0856640717091002,88.3153156821037,0.0,0.0006550391810339147
 0.10153254606351833,2.2015022899582717,1.5184955879908562,87.417489783821,0.304597638190555,3.0000000000000004,-0.0856640717091002,88.31538218989952,-1.8056305533222545,0.004750168789731953
 0.1435337662169641,2.202218384400015,1.5339185989157806,87.34165109743513,0.4306012986508923,3.0,-0.08648673894949922,88.31558170278463,-2.3748548465647374,0.010328379837282804
 0.17572530779750725,2.2029539377306873,1.549317203776625,87.26520085889418,0.5271759233925218,3.0000000000000018,-0.08731079552641334,88.31591418925362,-2.842778295879092,0.017168698000469804
 0.2028332194982261,2.203709059887515,1.5646915674792266,87.18813907586477,0.6084996584946784,2.999999999999998,-0.08813615377818186,88.31637959680303,-3.255962228883455,0.0250780762324354
 0.22668892242574362,2.204483860807722,1.5800418549294242,87.11046580818932,0.6800667672772308,2.9999999999999964,-0.08896272461645459,88.31697785193963,-3.633848781557003,0.03393224335452081
 0.2482320972961142,2.205278450428535,1.5953682310330564,87.03218116843574,0.7446962918883425,2.9999999999999987,-0.08979041758031131,88.31770886019196,-3.986831464173562,0.043642485106459204
 0.2680212071810009,2.206092938687181,1.6106708606959614,86.95328532249869,0.8040636215430027,3.0000000000000013,-0.09061914071845507,88.31857250612538,-4.321239576536672,0.05414114397421119
 0.2864202870984017,2.2069274355208828,1.6259499088239777,86.87377849018775,0.8592608612952051,2.999999999999997,-0.0914488007297006,88.31956865336018,-4.641259412997627,0.0653742023036649
 0.30368231390991607,2.207782050866868,1.6412055403229435,86.79366094576139,0.9110469417297481,3.0,-0.09227930284627416,88.32069714459313,-4.949824044206171,0.07729704811589966
 0.31999156581564786,2.2086568946623615,1.6564379200986976,86.7129330185354,0.9599746974469434,2.9999999999999964,-0.09311055093094547,88.32195780162242,-5.24907795768631,0.0898718603416292
 0.33548722539088716,2.2095520768445884,1.6716472130570776,86.6315950934192,1.0064616761726612,2.9999999999999964,-0.09394244748803186,88.32335042537566,-5.540641405406846,0.103065896275743
 0.350277477267329,2.210467707350775,1.6868335841039228,86.54964761147619,1.0508324318019868,3.0000000000000036,-0.09477489350777525,88.32487479594145,-5.825770866471079,0.11685031740030948
 0.364448398659702,2.211403896118147,1.7019971981450708,86.46709107047744,1.0933451959791058,2.999999999999996,-0.09560778873010056,88.32653067260401,-6.105461532650675,0.13119935435447605
 0.3780698168897545,2.2123607530839298,1.7171382200863605,86.38392602545372,1.1342094506692633,3.0,-0.09644103152994596,88.32831779388118,-6.380515514468491,0.14608969504054037
 0.3911993102746,2.213338388185348,1.7322568148336297,86.3001530892146,1.1735979308237996,2.9999999999999916,-0.09727451884717905,88.33023587756581,-6.651588798124611,0.16150002490749293
 0.40388502475429744,2.2143369113596285,1.7473531472927175,86.21577293288523,1.211655074262892,3.0,-0.09810814632341987,88.33228462077025,-6.9192245137491035,0.17741067421455822
 0.41616770849699025,2.215356432543997,1.762427382369462,86.13078628643817,1.2485031254909704,3.0,-0.0989418083134222,88.33446369997421,-7.183877087911062,0.1938033424486757
 0.42808221457532697,2.2163970616756776,1.7774796849697017,86.04519393920822,1.2842466437259807,3.0000000000000138,-0.09977539781543364,88.33677277107581,-7.445930152739363,0.210660879632018
 0.43965863243903286,2.217458908691898,1.7925102199992744,85.95899674037614,1.3189758973170984,3.0,-0.10060880644423047,88.33921146944597,-7.705710063911385,0.2279671104016952
 0.45092315448099124,2.2185420835298815,1.8075191523640193,85.87219559951227,1.3527694634429737,3.0000000000000098,-0.10144192480758463,88.34177940998593,-7.96349628934073,0.24570669079009338
 0.46189874978745826,2.2196466961268553,1.8225066469697742,85.78479148701592,1.3856962493623748,3.000000000000005,-0.10227464187218449,88.34447618718814,-8.21952948422025,0.26386499038548694
 0.4726056950624338,2.2207728564200444,1.8374728687223778,85.69678543464232,1.4178170851873013,3.0,-0.10310684570234505,88.34730137520017,-8.474017873893132,0.28242799448245115
 0.4830619980834626,2.2219206743466744,1.8524179825276683,85.60817853594729,1.449185994250388,3.0000000000000107,-0.10393842283009784,88.3502545278921,-8.727142339213104,0.30138222212685917
 0.49328373914397095,2.2230902598439717,1.867342153291484,85.51897194675766,1.479851217431913,3.0,-0.10476925882828526,88.35333517892693,-8.979060519487657,0.3207146569510981
 0.503285349103591,2.2242817228491605,1.8822455459196639,85.42916688563791,1.509856047310773,2.999999999999978,-0.10559923796392792,88.35654284183408,-9.229910157693782,0.34041268846856815
 0.5130798378676583,2.2254951732994668,1.8971283253180453,85.33876463430502,1.5392395136029746,2.9999999999999774,-0.10642824329225628,88.35987701008644,-9.479811839732237,0.3604640618654171
 0.5226789836904813,2.226730721132117,1.9119906563924673,85.2477665380825,1.5680369510714434,2.9999999999999885,-0.10725615678812246,88.36333715718017,-9.72887126833341,0.3808568348928593
 0.5320934912148297,2.227988476284336,1.9268327040487683,85.15617400632335,1.5962804736444889,3.000000000000012,-0.1080828593580862,88.36692273671797,-9.977181160354183,0.40157934063694534
 0.5413331243377867,2.2292685486933492,1.9416546331927869,85.06398851280042,1.6239993730133597,3.0,-0.10890823062021689,88.37063318249521,-10.224822834305279,0.42262015527391095
